date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:08	94017/94017	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Sep%202023%2013:05:08%20GMT	https://www.arkhamintelligence.com/	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/index.html	(from )
15:05:08	5044/5044	---MCZ	200	added ('OK')	text/html	etag:%22u9jch11ue03w4%22	https://platform.arkhamintelligence.com/	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/index.html	(from )
15:05:08	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:05:08%20GMT	https://www.arkhamintelligence.com/robots.txt		(from )
15:05:09	100886/100886	---M-Z	200	added ('OK')	text/css	etag:%22dc953e22913ef3515a4fd83d7fef2d5d%22	https://assets-global.website-files.com/62879326fd745f7489b43224/css/arkham.4e446b156.css	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/62879326fd745f7489b43224/css/arkham.4e446b156.css	(from https://www.arkhamintelligence.com/)
15:05:09	1406/1406	---M--	200	added ('OK')	image/png	etag:%225c754928cbd9237786d46ca3f9c7a557%22	https://assets-global.website-files.com/62879326fd745f7489b43224/62a727b59b3baa3a442493f7_Novo%20Projeto%20(4).png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/62879326fd745f7489b43224/62a727b59b3baa3a442493f7_Novo%20Projeto%20(4).png	(from https://www.arkhamintelligence.com/)
15:05:10	8093/8093	---M--	200	added ('OK')	image/png	etag:%22a2e9fff2b78f84ee61dd501d42d804bf%22	https://assets-global.website-files.com/62879326fd745f7489b43224/62a727baccb139c5d9bad274_Novo%20Projeto%20(5).png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/62879326fd745f7489b43224/62a727baccb139c5d9bad274_Novo%20Projeto%20(5).png	(from https://www.arkhamintelligence.com/)
15:05:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2008%20Sep%202023%2013:05:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/arkham/www.googletagmanager.com/gtm.35445.delayed	(from https://www.arkhamintelligence.com/)
15:05:12	112245/112245	---MCZ	200	added ('OK')	application/javascript	etag:W/%2225e24b2bb4668fac75d2d0bc2a52d643%22	https://cdn.weglot.com/weglot.min.js	C:/My%20Web%20Sites/arkham/cdn.weglot.com/weglot.min.js	(from https://www.arkhamintelligence.com/)
15:05:12	28568/28568	---M-Z	200	added ('OK')	application/javascript	etag:W/%226f98-JaCTdWHT47U4LbgOccbccIAF1bE%22	https://cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	C:/My%20Web%20Sites/arkham/cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	(from https://www.arkhamintelligence.com/)
15:05:13	2765/2765	---M--	200	added ('OK')	image/png	etag:%22aa3414961e6ac9403509feed7849c584%22	https://assets-global.website-files.com/62879326fd745f7489b43224/649ef1a7d1741339d2f038e2_paper.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/62879326fd745f7489b43224/649ef1a7d1741339d2f038e2_paper.png	(from https://www.arkhamintelligence.com/)
15:05:13	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:05:13%20GMT	https://www.arkhamintelligence.com/%22https://assets-global.website-files.com/62879326fd745f7489b43224/62a3a7248e6a2b47b66bd26c_Arkham_pentagon_7_3_1-poster-00001.jpg%22	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/_https_/assets-global.website-files.com/62879326fd745f7489b43224/62a3a7248e6a2b47b66bd26c_Arkham_pentagon_7_3_1-poster-00001.jpg_	(from https://www.arkhamintelligence.com/)
15:05:14	3435/3435	---M--	200	added ('OK')	image/png	etag:%22464ccb9b65d0a3e3311eeed95faca427%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/64ca822f329982b3e618ec67_TWT.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/64ca822f329982b3e618ec67_TWT.png	(from https://www.arkhamintelligence.com/)
15:05:15	303733/303733	---M--	200	added ('OK')	image/png	etag:%22e21d004c8df59a956686fdd84381fc93%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6421cc820a29f76a25e030d9_Screen%20Shot%202023-03-23%20at%202.03.34%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6421cc820a29f76a25e030d9_Screen%20Shot%202023-03-23%20at%202.03.34%20PM.png	(from https://www.arkhamintelligence.com/)
15:05:15	10253/10253	---M--	200	added ('OK')	image/png	etag:%22a128eb3a926fa93f78b9e99c0ab84f27%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6421cc7302820e2660b8212d_Ribbon%20Protocol%20Logo%20-%20Base.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6421cc7302820e2660b8212d_Ribbon%20Protocol%20Logo%20-%20Base.png	(from https://www.arkhamintelligence.com/)
15:05:15	39002/39002	---M--	200	added ('OK')	image/png	etag:%22b865a9ddeb588f11f0f7a596e9f46729%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/64de2ea7a86810f9fa1de029_Screenshot%202023-08-17%20at%2010.28.42%20AM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/64de2ea7a86810f9fa1de029_Screenshot%202023-08-17%20at%2010.28.42%20AM.png	(from https://www.arkhamintelligence.com/)
15:05:16	23296/23296	---M--	200	added ('OK')	image/png	etag:%227a7f6952929f8cd85436f8f4241a64c4%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6421cc03699d1c10f8265067_White%20on%20Gradient%20Circle.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6421cc03699d1c10f8265067_White%20on%20Gradient%20Circle.png	(from https://www.arkhamintelligence.com/)
15:05:17	20901/20901	---M--	200	added ('OK')	image/png	etag:%22efd8cac6e454ec63a72d5af1baba0463%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/641e1a4667c69907a2d3100b_ARB_lockup_white-2-1024x261.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/641e1a4667c69907a2d3100b_ARB_lockup_white-2-1024x261.png	(from https://www.arkhamintelligence.com/)
15:05:17	73391/73391	---M--	200	added ('OK')	image/png	etag:%226af9c1b5f2343b7e326111a5333dd644%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6421cc41fc58cd5c131644b6_Partnership%20Agreement%20-%20Arkham%20Intelligence%20and%20BNB%20Chain.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6421cc41fc58cd5c131644b6_Partnership%20Agreement%20-%20Arkham%20Intelligence%20and%20BNB%20Chain.png	(from https://www.arkhamintelligence.com/)
15:05:17	20226/20226	---M--	200	added ('OK')	image/png	etag:%22e6e051de30e2a1859ff8b784a05ed526%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/641e1a4e697d561be318a0a9_Avalanche_logo_without_text.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/641e1a4e697d561be318a0a9_Avalanche_logo_without_text.png	(from https://www.arkhamintelligence.com/)
15:05:19	177635/177635	---M--	200	added ('OK')	image/png	etag:%2208e83ffe1350713a35a025e16156dd5c%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/641e1a5ce2af2133a06d34e0_bnb-chain-binance-smart-chain-logo.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/641e1a5ce2af2133a06d34e0_bnb-chain-binance-smart-chain-logo.png	(from https://www.arkhamintelligence.com/)
15:05:20	111835/111835	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Sep%202023%2013:05:20%20GMT	https://www.arkhamintelligence.com/terms-of-service	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/terms-of-service.html	(from https://www.arkhamintelligence.com/)
15:05:20	119131/119131	---M--	200	added ('OK')	image/png	etag:%22f4bb0047691334f32e180abf7ea44e4d%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/641e1a63a274e5c386265051_icon%20red.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/641e1a63a274e5c386265051_icon%20red.png	(from https://www.arkhamintelligence.com/)
15:05:21	62837/62837	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Sep%202023%2013:05:21%20GMT	https://www.arkhamintelligence.com/privacy-policy	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/privacy-policy.html	(from https://www.arkhamintelligence.com/)
